# Dependency Audit Coverage Log

## Section 1 - Automated Fixes
| Package | Previous | New | Date Applied | Test Outcome |
| vue-tsc           | ^3.2.6   | ^3.2.7   | 2026-04-20 | PASS         |
| @types/google-apps-script | ^1.0.83 | ^1.0.100 | 2026-06-03 | PASS |
| vitest | ^4.1.4 | ^4.1.5 | 2026-06-03 | PASS |
| @vitest/coverage-v8 | ^4.1.4 | ^4.1.5 | 2026-06-03 | PASS |
| @vitest/ui | ^4.1.4 | ^4.1.5 | 2026-06-03 | PASS |
| vue | ^3.5.32 | ^3.5.33 | 2026-06-03 | PASS |
| @types/google-apps-script | ^1.0.83 | catalog: (^1.0.100) | 2026-06-03 | PASS |
| @vue/test-utils | ^2.4.6 | ^2.4.8 | 2026-06-04 | PASS |
| @vue/test-utils | ^2.4.8 | ^2.4.9 | 2026-06-05 | PASS |
| @types/express | ^4.17.21 | ^4.17.25 | 2026-04-26 | PASS |
| knip | ^6.3.0 | ^6.7.0 | 2026-06-05 | PASS |
| @vue/test-utils | ^2.4.9 | ^2.4.10 | 2026-06-06 | PASS |
| knip | ^6.7.0 | ^6.10.0 | 2026-06-07 | PASS |
| knip | ^6.10.0 | ^6.11.0 | 2026-06-08 | PASS |
| dependency-cruiser | ^17.3.10 | ^17.4.0 | 2026-05-04 | PASS |
| vue-tsc | ^3.2.7 | ^3.2.8 | 2026-06-12 | PASS |
| valibot | ^1.3.1 | ^1.4.0 | 2026-05-06 | PASS |
| vue | ^3.5.33 | ^3.5.34 | 2026-06-16 | PASS |
| @supabase/supabase-js | ^2.105.1 | ^2.105.3 | 2026-06-19 | PASS |
| @supabase/supabase-js | ^2.105.3 | ^2.105.4 | 2026-06-23 | PASS |
| workbox-window | ^7.4.0 | ^7.4.1 | 2026-05-10 | PASS |
| workbox-precaching | ^7.4.0 | ^7.4.1 | 2026-06-27 | PASS |
| knip | ^6.11.0 | ^6.12.2 | 2026-05-12 | PASS |
| knip | ^6.12.2 | ^6.13.1 | 2026-05-13 | PASS |
| vitest | ^4.1.5 | ^4.1.6 | 2026-08-04 | PASS |
| tsx | ^4.21.0 | ^4.22.0 | 2026-05-15 | PASS |
| knip | ^6.13.1 | ^6.14.0 | 2026-08-04 | PASS |
| knip | ^6.14.0 | ^6.14.1 | 2026-05-17 | PASS |
| @ast-grep/cli | ^0.42.1 | ^0.42.2 | 2026-05-18 | PASS |
| @supabase/supabase-js | ^2.105.4 | ^2.106.0 | 2026-05-19 | PASS |
| tsx | ^4.22.0 | ^4.22.3 | 2026-08-05 | PASS |
| vitest | ^4.1.6 | ^4.1.7 | 2026-08-06 | PASS |
| @supabase/supabase-js | ^2.106.0 | ^2.106.1 | 2026-05-22 | PASS |
| knip | ^6.14.1 | ^6.14.2 | 2026-05-24 | PASS |
| valibot | ^1.4.0 | ^1.4.1 | 2026-05-25 | PASS |
| dependency-cruiser | ^17.4.0 | ^17.4.2 | 2026-05-26 | PASS |

## Section 2 - Major Version Watchlist
| Package | Current | Latest Major | First Detected | Notes |
|---------|---------|--------------|----------------|-------|
| vite | ^7.3.1 | 8.0.13 | 2026-05-17 | Breaking: Rolldown migration. Unified Rust bundler 10-30x faster. Verify manualChunks. |
| typescript | ~5.9.3 | 6.0.3 | 2026-05-21 | Breaking: Several compiler defaults changed (module: esnext, target: es2025). |
| @types/node | ^24.12.0 | 25.9.1 | 2026-04-12 | [Updated] New major available. Tier 1 patch bump previously failed test gate. |
| @vitejs/plugin-vue | ^6.0.5 | 6.0.7 | 2026-04-13 | [Updated] Tier 1 patch/minor bump previously failed test gate. |
| vue-router | ^4.6.4 | 5.0.7 | 2026-06-05 | Breaking: Transition release. No breaking changes for manual routes. |
| jsdom | ^24.1.3 | 29.1.1 | 2026-08-04 | Breaking: Internal refactor, performance gains. |
| rollup-plugin-visualizer | ^6.0.5 | 7.0.1 | 2026-08-04 | Breaking: Config schema changes for vite 6/7/8 compatibility. |
